site,habitat,order_num,order,abu,rep,date,notes,Site Code,Sample  weight (g),Replication (Rep out of 3),Date,Priority
HH01,wetland,1,hymenoptera = 1,,1,,,HH01,0.57,1,,
HH01,wetland,2,orthoptera = 2,,1,,,,,,,
HH01,wetland,3,coleoptera = 3,,1,,,,,,,
HH01,wetland,4,areinada = 4,,1,,,,,,,
HH01,wetland,5,lepidoptera = 5,,1,,,,,,,
HH01,wetland,6,dipteran,,1,,,,,,,
HH01,wetland,7,odonata = 7,,1,,,,,,,
HH01,wetland,8,mantodea = 8,,1,,,,,,,
HH01,wetland,9,phasmotodea = 9,,1,,,,,,,
HH01,wetland,10,hemiptera = 10,,1,,,,,,,
HH01,wetland,11,Archeria = 11,,1,,,,,,,
HH01,wetland,12,Oppliones = 12,,1,,,,,,,
HH01,wetland,13,UnID = 13,,1,,,,,,,
HH01,wetland,1,hymenoptera = 1,,2,6/13/2023,check that this is truely rep 2,HH01,0.75,1,,med
HH01,wetland,2,orthoptera = 2,4,2,6/13/2023,check that this is truely rep 3,HH01,,1,,
HH01,wetland,3,coleoptera = 3,77,2,6/13/2023,check that this is truely rep 4,HH01,,1,,
HH01,wetland,4,areinada = 4,4,2,6/13/2023,check that this is truely rep 5,HH01,,1,,
HH01,wetland,5,lepidoptera = 5,1,2,6/13/2023,check that this is truely rep 6,HH01,,1,,
HH01,wetland,6,dipteran,6,2,6/13/2023,check that this is truely rep 7,HH01,,1,,
HH01,wetland,7,odonata = 7,,2,6/13/2023,check that this is truely rep 8,HH01,,1,,
HH01,wetland,8,mantodea = 8,2,2,6/13/2023,check that this is truely rep 9,HH01,,1,,
HH01,wetland,9,phasmotodea = 9,,2,6/13/2023,check that this is truely rep 10,HH01,,1,,
HH01,wetland,10,hemiptera = 10,4,2,6/13/2023,check that this is truely rep 11,HH01,,1,,
HH01,wetland,11,Archeria = 11,1,2,6/13/2023,check that this is truely rep 12,HH01,,1,,
HH01,wetland,12,Oppliones = 12,,2,6/13/2023,check that this is truely rep 13,HH01,,1,,
HH01,wetland,13,UnID = 13,2,2,6/13/2023,check that this is truely rep 14,HH01,,1,,
HH01,wetland,14,polydesmida = 14,3,2,6/13/2023,check that this is truely rep 15,HH01,,,,
HH02,wetland,1,hymenoptera = 1,,1,,,HH01,,2,,None
HH02,wetland,2,orthoptera = 2,,1,,not ID,HH01,,3,,None
HH02,wetland,3,coleoptera = 3,,1,,not ID,HH02,1.11,1,,None
HH02,wetland,4,areinada = 4,,1,,not ID,HH02,0.57,2,,None
HH02,wetland,5,lepidoptera = 5,,1,,not ID,HH02,,3,,None
HH02,wetland,6,dipteran,,1,,not ID,HH04,,1,,None
HH02,wetland,7,odonata = 7,,1,,not ID,HH04,,2,,None
HH02,wetland,8,mantodea = 8,,1,,not ID,HH04,,3,,None
HH02,wetland,9,phasmotodea = 9,,1,,not ID,HH05,,1,,None
HH02,wetland,10,hemoptera = 10,,1,,not ID,HH05,,2,,None
HH02,wetland,11,Archeria = 11,,1,,not ID,HH05,,3,,None
HH02,wetland,12,Oppliones = 12,,1,,not ID,HH07,0.33,1,,None
HH02,wetland,13,UnID = 13,,1,,not ID,HH07,0.55,2,,None
HH02,wetland,1,hymenoptera = 1,2,2,5/25/2023,,HH07,,3,,None
HH02,wetland,2,orthoptera = 2,4,2,5/25/2023,,HH13,0.42,1,,None
HH02,wetland,3,coleoptera = 3,7,2,5/25/2023,,HH13,,2,,None
HH02,wetland,4,areinada = 4,11,2,5/25/2023,,HH13,,3,,None
HH02,wetland,5,lepidoptera = 5,3,2,5/25/2023,,HH14,,1,,None
HH02,wetland,6,dipteran,16,2,5/25/2023,,HH14,,2,,None
HH02,wetland,7,odonata = 7,,2,5/25/2023,,HH14,,3,,None
HH02,wetland,8,mantodea = 8,,2,5/25/2023,,HH17,,1,,None
HH02,wetland,9,phasmotodea = 9,2,2,5/25/2023,,HH17,0.95,2,,None
HH02,wetland,10,hemiptera = 10,,2,5/25/2023,,HH17,,3,,None
HH02,wetland,11,Archeria = 11,,2,5/25/2023,,HH22,,1,,None
HH02,wetland,12,Oppliones = 12,1,2,5/25/2023,,HH22,,2,,None
HH02,wetland,13,UnID = 13,5,2,5/25/2023,,HH22,,3,,None
HH02,wetland,1,hymenoptera = 1,3,3,6/13/2023,,,,,,None
HH02,wetland,2,orthoptera = 2,4,3,6/13/2023,,,,,,None
HH02,wetland,3,coleoptera = 3,13,3,6/13/2023,,,,,,None
HH02,wetland,4,areinada = 4,12,3,6/13/2023,,,,,,None
HH02,wetland,5,lepidoptera = 5,,3,6/13/2023,,,,,,None
HH02,wetland,6,dipteran,3,3,6/13/2023,,,,,,None
HH02,wetland,7,odonata = 7,,3,6/13/2023,,,,,,None
HH02,wetland,8,mantodea = 8,,3,6/13/2023,,,,,,None
HH02,wetland,9,phasmotodea = 9,3,3,6/13/2023,,,,,,None
HH02,wetland,10,hemiptera = 10,9,3,6/13/2023,,,,,,None
HH02,wetland,11,Archeria = 11,,3,6/13/2023,,,,,,None
HH02,wetland,12,Oppliones = 12,1,3,6/13/2023,,,,,,None
HH02,wetland,13,UnID = 13,7,3,6/13/2023,,,,,,
HH02,wetland,14,polydesmida = 14,3,3,6/13/2023,,,,,,
HH04,wetland,1,hymenoptera = 1,,1,5/25/2023,,HH30,,,,Medium
HH04,wetland,2,orthoptera = 2,2,1,5/25/2023,,HH30,,,,Medium
HH04,wetland,3,coleoptera = 3,55,1,5/25/2023,,HH30,,,,Medium
HH04,wetland,4,areinada = 4,15,1,5/25/2023,,HH31,1.23,1,,Medium
HH04,wetland,5,lepidoptera = 5,4,1,5/25/2023,,HH31,,,,Medium
HH04,wetland,6,dipteran,39,1,5/25/2023,,HH31,,,,Medium
HH04,wetland,7,odonata = 7,1,1,5/25/2023,,HH33,0.1,1,,Medium
HH04,wetland,8,mantodea = 8,,1,5/25/2023,,HH33,,,,Medium
HH04,wetland,9,phasmotodea = 9,,1,5/25/2023,,HH33,,,,Medium
HH04,wetland,10,Hemiptera = 10,,1,5/25/2023,,HH34,,,,Medium
HH04,wetland,11,Archeria = 11,,1,5/25/2023,,HH34,,,,Medium
HH04,wetland,12,Oppliones = 12,1,1,5/25/2023,,HH34,,,,Medium
HH04,wetland,13,UnID = 13,10,1,5/25/2023,,HH34r,,,,Medium
HH04,wetland,1,hymenoptera = 1,5,2,6/16/2023,,,,,,
HH04,wetland,2,orthoptera = 2,6,2,6/16/2023,,,,,,
HH04,wetland,3,coleoptera = 3,17,2,6/16/2023,,,,,,
HH04,wetland,4,areinada = 4,13,2,6/16/2023,,,,,,
HH04,wetland,5,lepidoptera = 5,1,2,6/16/2023,,,,,,
HH04,wetland,6,dipteran,7,2,6/16/2023,,,,,,
HH04,wetland,7,odonata = 7,,2,6/16/2023,,,,,,
HH04,wetland,8,mantodea = 8,,2,6/16/2023,,,,,,
HH04,wetland,9,phasmotodea = 9,,2,6/16/2023,,,,,,
HH04,wetland,10,Hemiptera = 10,6,2,6/16/2023,,,,,,
HH04,wetland,11,Archeria = 11,,2,6/16/2023,,,,,,
HH04,wetland,12,Oppliones = 12,,2,6/16/2023,,,,,,
HH04,wetland,13,UnID = 13,44,2,6/16/2023,,,,,,
HH05,wetland,1,hymenoptera = 1,16,1,5/25/2023,,HH34r,,,,medium
HH05,wetland,2,orthoptera = 2,11,1,5/25/2023,,,,,,
HH05,wetland,3,coleoptera = 3,6,1,5/25/2023,,,,,,
HH05,wetland,4,areinada = 4,19,1,5/25/2023,,,,,,
HH05,wetland,5,lepidoptera = 5,0,1,5/25/2023,,,,,,
HH05,wetland,6,dipteran,12,1,5/25/2023,,,,,,
HH05,wetland,7,odonata = 7,1,1,5/25/2023,,,,,,
HH05,wetland,8,mantodea = 8,1,1,5/25/2023,,,,,,
HH05,wetland,9,phasmotodea = 9,0,1,5/25/2023,,,,,,
HH05,wetland,10,hemiptera = 10,15,1,5/25/2023,,,,,,
